,Company,Security,GICS Sector,GICS Sub-Industry,Founded,Open,High,Low,Close,Volume,Dividends,Stock Splits,Year,Month,Day,Date
0,MMM,3M,Industrials,Industrial Conglomerates,1902,196.58,216.59,194.11,208.86,49095800,0,0,2018,1,1,2018/01/01
1,MMM,3M,Industrials,Industrial Conglomerates,1902,206.31,208.52,181.91,196.36,58411400,1.36,0,2018,2,1,2018/02/01
2,MMM,3M,Industrials,Industrial Conglomerates,1902,198.05,203.88,180.09,184.11,55656900,0,0,2018,3,1,2018/03/01
3,MMM,3M,Industrials,Industrial Conglomerates,1902,182.87,185.93,162.85,163.03,67396900,0,0,2018,4,1,2018/04/01
4,MMM,3M,Industrials,Industrial Conglomerates,1902,162.73,172.8,160.56,165.41,64993100,1.36,0,2018,5,1,2018/05/01
5,MMM,3M,Industrials,Industrial Conglomerates,1902,167.83,174.62,163.51,166.11,52817200,0,0,2018,6,1,2018/06/01
6,MMM,3M,Industrials,Industrial Conglomerates,1902,165.05,179.67,160.92,179.29,51342100,0,0,2018,7,1,2018/07/01
7,MMM,3M,Industrials,Industrial Conglomerates,1902,178.15,178.78,166.44,178.1,39291800,1.36,0,2018,8,1,2018/08/01
8,MMM,3M,Industrials,Industrial Conglomerates,1902,178.98,185.21,175.03,179.12,45069500,0,0,2018,9,1,2018/09/01
9,MMM,3M,Industrials,Industrial Conglomerates,1902,180.56,184.76,154.7,161.74,67294100,0,0,2018,10,1,2018/10/01
10,MMM,3M,Industrials,Industrial Conglomerates,1902,162.03,178.32,161.59,176.75,51077500,1.36,0,2018,11,1,2018/11/01
11,MMM,3M,Industrials,Industrial Conglomerates,1902,180.77,181.4,151.38,163.08,51330100,0,0,2018,12,1,2018/12/01
12,MMM,3M,Industrials,Industrial Conglomerates,1902,160.75,171.94,156.53,171.43,53042200,0,0,2019,1,1,2019/01/01
13,MMM,3M,Industrials,Industrial Conglomerates,1902,172.45,181.1,167.97,177.5,36859800,1.44,0,2019,2,1,2019/02/01
14,MMM,3M,Industrials,Industrial Conglomerates,1902,179.95,181.44,170.64,179.06,47486500,0,0,2019,3,1,2019/03/01
15,MMM,3M,Industrials,Industrial Conglomerates,1902,180.88,189.38,160.77,163.32,54909300,0,0,2019,4,1,2019/04/01
16,MMM,3M,Industrials,Industrial Conglomerates,1902,163.3,163.49,137.57,137.67,94604800,1.44,0,2019,5,1,2019/05/01
